epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,485.625,0.95272,0.27161,0.10909,0.67046,0.99389,1,0.99602,0.995,0.73515,1,0.99602,0.995,0.99306,0.84949,0.12424,0.04815,0.62119,0.86321,0.000373,0.000373,0.000373
97,490.395,0.91742,0.25936,0.12838,0.67219,0.97818,0.94374,1,0.99105,0.62982,0.94374,1,0.99105,0.99105,1.27071,0.15516,0.056,0.70743,0.91327,0.0003664,0.0003664,0.0003664
98,495.279,0.9552,0.24302,0.11676,0.66159,0.97568,0.99752,1,0.995,0.78596,0.99752,1,0.995,0.995,0.87151,0.14899,0.04318,0.55813,0.86631,0.0003598,0.0003598,0.0003598
99,500.08,0.88046,0.28199,0.14459,0.65547,0.9941,0.99855,1,0.995,0.77211,0.99855,1,0.995,0.99226,0.89403,0.14675,0.03961,0.55211,0.89345,0.0003532,0.0003532,0.0003532
100,504.828,0.90416,0.27348,0.12571,0.64361,0.99789,0.99603,1,0.995,0.71046,0.99603,1,0.995,0.99415,1.12753,0.12928,0.04135,0.59874,0.90056,0.0003466,0.0003466,0.0003466
101,509.647,0.82872,0.24813,0.10737,0.58829,0.95004,0.996,1,0.995,0.8113,0.996,1,0.995,0.99475,0.80845,0.09302,0.04873,0.59017,0.8839,0.00034,0.00034,0.00034
102,514.465,0.87873,0.26475,0.12698,0.68594,0.96274,0.99362,1,0.995,0.81443,0.99362,1,0.995,0.99459,0.83289,0.11344,0.0587,0.60427,0.88484,0.0003334,0.0003334,0.0003334
103,519.234,0.8617,0.18472,0.08926,0.67053,0.95564,0.99704,1,0.995,0.79639,0.99704,1,0.995,0.99479,0.79002,0.12839,0.05152,0.57295,0.86605,0.0003268,0.0003268,0.0003268
104,524.026,0.84713,0.2023,0.10666,0.67291,0.95596,0.99743,1,0.995,0.82774,0.99743,1,0.995,0.99471,0.69461,0.09521,0.04422,0.51063,0.85697,0.0003202,0.0003202,0.0003202
105,528.938,0.89689,0.15782,0.08672,0.60638,0.95276,0.99827,1,0.995,0.73145,0.99827,1,0.995,0.99429,1.00282,0.12894,0.03905,0.54917,0.88692,0.0003136,0.0003136,0.0003136
