epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,687.538,0.31278,0.20019,0.99909,0.98656,1,0.995,0.96879,0.22084,0.1526,0.53601,7.63174e-05,7.63174e-05,7.63174e-05
127,692.701,0.32906,0.2084,1.01279,0.9863,1,0.995,0.9608,0.2199,0.15205,0.53836,7.12282e-05,7.12282e-05,7.12282e-05
128,698.023,0.32568,0.21608,1.00739,0.98656,1,0.995,0.95888,0.22343,0.14885,0.53834,6.63292e-05,6.63292e-05,6.63292e-05
129,703.199,0.32904,0.20046,0.99974,0.99407,1,0.995,0.9603,0.22843,0.14417,0.53739,6.16227e-05,6.16227e-05,6.16227e-05
130,708.414,0.33454,0.20487,1.00964,0.99731,1,0.995,0.95733,0.23656,0.14736,0.54206,5.71106e-05,5.71106e-05,5.71106e-05
131,713.72,0.33647,0.21256,1.01832,0.99792,1,0.995,0.96029,0.21509,0.14156,0.52775,5.2795e-05,5.2795e-05,5.2795e-05
132,719.616,0.32668,0.2056,1.00236,0.99675,1,0.995,0.97193,0.20448,0.14239,0.51895,4.86777e-05,4.86777e-05,4.86777e-05
133,724.956,0.31985,0.19678,1.00356,0.98921,1,0.995,0.97028,0.20307,0.14385,0.51828,4.47606e-05,4.47606e-05,4.47606e-05
134,730.091,0.31739,0.20973,1.02005,0.98664,1,0.995,0.96899,0.20563,0.1453,0.51986,4.10454e-05,4.10454e-05,4.10454e-05
135,735.341,0.29946,0.18885,0.98402,0.99376,1,0.995,0.9648,0.20985,0.14213,0.52301,3.75337e-05,3.75337e-05,3.75337e-05
136,740.633,0.31047,0.19783,1.00012,0.99545,1,0.995,0.96575,0.21438,0.14225,0.52497,3.4227e-05,3.4227e-05,3.4227e-05
137,745.944,0.33415,0.20802,1.01804,0.99551,1,0.995,0.9649,0.21281,0.14005,0.52465,3.11268e-05,3.11268e-05,3.11268e-05
138,751.194,0.31833,0.19079,0.98996,0.99667,1,0.995,0.9644,0.21326,0.14172,0.5267,2.82345e-05,2.82345e-05,2.82345e-05
139,756.466,0.29885,0.19203,0.99002,0.99444,1,0.995,0.96595,0.20866,0.14156,0.52364,2.55513e-05,2.55513e-05,2.55513e-05
140,761.768,0.3181,0.20116,1.00315,0.99374,1,0.995,0.97293,0.19708,0.13924,0.51411,2.30784e-05,2.30784e-05,2.30784e-05
141,769.482,0.2302,0.31777,1.01268,0.98619,1,0.995,0.97122,0.18947,0.14297,0.50634,2.08169e-05,2.08169e-05,2.08169e-05
