epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,981.961,0.29836,0.19004,0.99852,0.99928,1,0.995,0.97876,0.241,0.18277,0.65398,2.55513e-05,2.55513e-05,2.55513e-05
140,989.116,0.29794,0.19344,0.99287,0.99926,1,0.995,0.97588,0.24547,0.18277,0.65715,2.30784e-05,2.30784e-05,2.30784e-05
141,999.671,0.23038,0.31395,0.9775,0.99926,1,0.995,0.97201,0.2427,0.18421,0.65934,2.08169e-05,2.08169e-05,2.08169e-05
142,1007.2,0.20816,0.22484,0.97042,0.99905,1,0.995,0.96971,0.24409,0.18963,0.66256,1.87678e-05,1.87678e-05,1.87678e-05
143,1014.21,0.20384,0.18925,0.99335,0.99822,1,0.995,0.96441,0.24712,0.19567,0.66497,1.6932e-05,1.6932e-05,1.6932e-05
144,1021.18,0.19895,0.16082,0.937,0.9975,1,0.995,0.97126,0.24872,0.19949,0.66478,1.53102e-05,1.53102e-05,1.53102e-05
145,1028.19,0.19788,0.15555,0.96571,0.99605,1,0.995,0.96977,0.25037,0.20432,0.66754,1.39032e-05,1.39032e-05,1.39032e-05
146,1035.29,0.20443,0.16087,0.98515,0.989,1,0.995,0.96647,0.25283,0.21233,0.67145,1.27117e-05,1.27117e-05,1.27117e-05
147,1042.35,0.1895,0.14715,0.97468,0.98642,1,0.995,0.96887,0.25386,0.21527,0.67249,1.1736e-05,1.1736e-05,1.1736e-05
148,1049.44,0.20247,0.14991,0.95785,0.99233,1,0.995,0.96935,0.25432,0.20653,0.67399,1.09768e-05,1.09768e-05,1.09768e-05
149,1056.43,0.19824,0.14648,0.97889,0.99116,1,0.995,0.96487,0.25441,0.20556,0.6766,1.04342e-05,1.04342e-05,1.04342e-05
150,1063.55,0.19021,0.13643,0.94736,0.99752,1,0.995,0.96746,0.24851,0.18758,0.67037,1.01086e-05,1.01086e-05,1.01086e-05
